Date,Open
2021-12-17,47653.730469
2021-12-18,46219.253906
2021-12-19,46853.867188
2021-12-20,46707.0625
2021-12-21,46886.078125
2021-12-22,48937.097656
2021-12-23,48626.34375
2021-12-24,50806.050781
2021-12-25,50854.917969
2021-12-26,50428.691406
2021-12-27,50802.609375
2021-12-28,50679.859375
2021-12-29,47623.871094
2021-12-30,46490.605469
2021-12-31,47169.371094
2022-01-01,46311.746094
2022-01-02,47680.925781
2022-01-03,47343.542969
2022-01-04,46458.851563
2022-01-05,45899.359375
2022-01-06,43565.511719
2022-01-07,43153.570313
2022-01-08,41561.464844
2022-01-09,41734.726563
2022-01-10,41910.230469
2022-01-11,41819.507813
2022-01-12,42742.179688
2022-01-13,43946.742188
2022-01-14,42598.871094
2022-01-15,43101.898438
2022-01-16,43172.039063
2022-01-17,43118.121094
2022-01-18,42250.074219
2022-01-19,42374.039063
2022-01-20,41744.027344
2022-01-21,40699.605469
2022-01-22,36471.589844
2022-01-23,35047.359375
2022-01-24,36275.734375
2022-01-25,36654.804688
2022-01-26,36950.515625
2022-01-27,36841.878906
2022-01-28,37128.445313
2022-01-29,37780.714844
2022-01-30,38151.917969
2022-01-31,37920.28125
2022-02-01,38481.765625
2022-02-02,38743.714844
2022-02-03,36944.804688
2022-02-04,37149.265625
2022-02-05,41501.480469
2022-02-06,41441.121094
2022-02-07,42406.78125
2022-02-08,43854.652344
2022-02-09,44096.703125
2022-02-10,44347.800781
2022-02-11,43571.128906
2022-02-12,42412.300781
2022-02-13,42236.566406
2022-02-14,42157.398438
2022-02-15,42586.464844
2022-02-16,44578.277344
2022-02-17,43937.070313
2022-02-18,40552.132813
2022-02-19,40026.023438
2022-02-20,40118.101563
2022-02-21,38423.210938
2022-02-22,37068.769531
2022-02-23,38285.28125
2022-02-24,37278.566406
2022-02-25,38333.746094
2022-02-26,39213.082031
2022-02-27,39098.699219
2022-02-28,37706.0
2022-03-01,43194.503906
2022-03-02,44357.617188
2022-03-03,43925.195313
2022-03-04,42458.140625
2022-03-05,39148.449219
2022-03-06,39404.199219
2022-03-07,38429.304688
2022-03-08,38059.902344
2022-03-09,38742.816406
2022-03-10,41974.070313
2022-03-11,39439.96875
2022-03-12,38794.464844
2022-03-13,38884.726563
2022-03-14,37846.316406
2022-03-15,39664.25
2022-03-16,39335.570313
2022-03-17,41140.84375
2022-03-18,40944.839844
2022-03-19,41794.648438
2022-03-20,42191.40625
2022-03-21,41246.132813
