,Open,High,Low,Close,Adj Close,Volume
2022-02-07 21:00:00,1.1482867421364062e-06,1.1500046639412176e-06,1.1482867421364062e-06,1.1500046639412176e-06,1.1500046639412176e-06,7312256
2022-02-07 22:00:00,1.1515598998812493e-06,1.1641069477263954e-06,1.149893023466575e-06,1.1641069477263954e-06,1.1641069477263954e-06,443964
2022-02-07 23:00:00,1.1666110140140518e-06,1.172881979982776e-06,1.145522901424556e-06,1.1589637551878695e-06,1.1589637551878695e-06,30956
2022-02-08 00:00:00,1.1572286666705622e-06,1.1591552038225927e-06,1.1271117728028912e-06,1.1451628552094917e-06,1.1451628552094917e-06,198644
2022-02-08 01:00:00,1.1441966307756957e-06,1.1686912557706819e-06,1.1417566838645143e-06,1.1680084526233259e-06,1.1680084526233259e-06,629076
2022-02-08 02:00:00,1.167852815342485e-06,1.1729770221791114e-06,1.1595387832130655e-06,1.1595387832130655e-06,1.1595387832130655e-06,0
2022-02-08 03:00:00,1.1526319667609641e-06,1.1526319667609641e-06,1.1353445188433398e-06,1.146876684288145e-06,1.146876684288145e-06,0
2022-02-08 04:00:00,1.149406216427451e-06,1.1547407439138624e-06,1.1322047157591442e-06,1.1344218364683911e-06,1.1344218364683911e-06,0
2022-02-08 05:00:00,1.1374072528269608e-06,1.1657436971290736e-06,1.1374072528269608e-06,1.1627366802713368e-06,1.1627366802713368e-06,126964
2022-02-08 06:00:00,1.164343984783045e-06,1.195424260913569e-06,1.163925844593905e-06,1.1643503512459574e-06,1.1643503512459574e-06,648304
2022-02-08 07:00:00,1.1662774568321765e-06,1.1830238690890837e-06,1.1648301097011426e-06,1.1753916169254808e-06,1.1753916169254808e-06,0
2022-02-08 08:00:00,1.1773698815886746e-06,1.1773698815886746e-06,1.1129126278319745e-06,1.1129126278319745e-06,1.1129126278319745e-06,0
2022-02-08 09:00:00,1.1141871709696716e-06,1.1237221997362212e-06,1.0834686463567778e-06,1.1101543577751727e-06,1.1101543577751727e-06,944688
