Datetime,Open,High,Low,Close,Adj Close,Volume
2023-03-08 12:30:00,22060.548828125,22073.013671875,22013.888671875,22014.2421875,22014.2421875,91531264
2023-03-08 13:00:00,22016.716796875,22048.958984375,21999.076171875,22026.46484375,22026.46484375,285622272
2023-03-08 13:30:00,22024.060546875,22046.8046875,21977.458984375,21991.7578125,21991.7578125,239460352
2023-03-08 14:00:00,21992.1875,22026.203125,21961.3203125,21990.59765625,21990.59765625,140253184
2023-03-08 14:30:00,21987.12109375,22011.841796875,21974.6953125,21998.46484375,21998.46484375,77930496
2023-03-08 15:00:00,21995.265625,22150.015625,21962.578125,22120.0625,22120.0625,160145408
2023-03-08 15:30:00,22121.42578125,22185.609375,22113.27734375,22157.708984375,22157.708984375,0
2023-03-08 16:00:00,22158.6796875,22198.90234375,22111.533203125,22111.533203125,22111.533203125,0
2023-03-08 16:30:00,22109.091796875,22162.650390625,22078.8125,22152.9609375,22152.9609375,35264512
2023-03-08 17:00:00,22150.3671875,22150.63671875,22104.7890625,22107.87890625,22107.87890625,0
2023-03-08 17:30:00,22108.22265625,22108.22265625,22060.76953125,22060.76953125,22060.76953125,0
2023-03-08 18:00:00,22059.0859375,22059.0859375,21990.419921875,21990.419921875,21990.419921875,20920320
2023-03-08 18:30:00,21988.1484375,22038.236328125,21975.4765625,22037.74609375,22037.74609375,84217856
2023-03-08 19:00:00,22037.23828125,22037.23828125,22018.072265625,22025.6328125,22025.6328125,217088
2023-03-08 19:30:00,22025.6640625,22057.3046875,22013.009765625,22016.279296875,22016.279296875,92532736
2023-03-08 20:00:00,22016.06640625,22017.955078125,21988.044921875,22011.953125,22011.953125,0
2023-03-08 20:30:00,22011.767578125,22113.93359375,22011.767578125,22107.623046875,22107.623046875,87732224
2023-03-08 21:00:00,22106.416015625,22115.392578125,22085.6953125,22085.6953125,22085.6953125,987136
2023-03-08 21:30:00,22088.396484375,22092.400390625,21973.576171875,22003.81640625,22003.81640625,147691520
2023-03-08 22:00:00,22006.185546875,22013.109375,21981.462890625,22000.701171875,22000.701171875,11616256
2023-03-08 22:30:00,22001.44921875,22001.44921875,21823.197265625,21836.76171875,21836.76171875,324306944
2023-03-08 23:00:00,21835.42578125,21837.392578125,21720.759765625,21720.759765625,21720.759765625,794601472
2023-03-08 23:30:00,21723.806640625,21745.658203125,21708.05078125,21721.00390625,21721.00390625,152420352
2023-03-09 00:00:00,21720.080078125,21758.337890625,21709.55859375,21758.337890625,21758.337890625,56467456
2023-03-09 00:30:00,21757.28515625,21762.271484375,21721.615234375,21743.69921875,21743.69921875,84101120
2023-03-09 01:00:00,21742.61328125,21758.28515625,21692.3984375,21755.650390625,21755.650390625,191342592
2023-03-09 01:30:00,21753.4453125,21753.9453125,21723.330078125,21735.970703125,21735.970703125,62769152
2023-03-09 02:00:00,21731.64453125,21792.76171875,21726.423828125,21792.76171875,21792.76171875,113532928
2023-03-09 02:30:00,21793.1953125,21797.73828125,21775.87109375,21784.259765625,21784.259765625,91060224
2023-03-09 03:00:00,21784.42578125,21791.0,21770.041015625,21775.75390625,21775.75390625,19939328
2023-03-09 03:30:00,21776.140625,21802.716796875,21775.41015625,21780.40234375,21780.40234375,81944576
2023-03-09 04:00:00,21782.81640625,21786.90234375,21759.705078125,21764.58203125,21764.58203125,29132800
2023-03-09 04:30:00,21760.728515625,21760.728515625,21748.93359375,21752.5390625,21752.5390625,43888640
2023-03-09 05:00:00,21753.369140625,21767.431640625,21744.814453125,21748.716796875,21748.716796875,10266624
2023-03-09 05:30:00,21749.779296875,21756.9609375,21739.443359375,21747.0078125,21747.0078125,0
2023-03-09 06:00:00,21747.68359375,21757.00390625,21738.005859375,21752.3515625,21752.3515625,0
2023-03-09 06:30:00,21751.091796875,21751.091796875,21712.01171875,21743.271484375,21743.271484375,47011840
2023-03-09 07:00:00,21744.53515625,21752.537109375,21716.376953125,21722.611328125,21722.611328125,14221312
2023-03-09 07:30:00,21719.2578125,21723.53515625,21683.814453125,21689.2734375,21689.2734375,71682048
2023-03-09 08:00:00,21689.34375,21691.345703125,21653.2578125,21655.453125,21655.453125,179412992
2023-03-09 08:30:00,21653.783203125,21698.25390625,21650.982421875,21696.689453125,21696.689453125,240889856
2023-03-09 09:00:00,21696.3125,21702.8671875,21667.939453125,21670.146484375,21670.146484375,117510144
2023-03-09 09:30:00,21669.88671875,21669.88671875,21630.841796875,21654.974609375,21654.974609375,168071168
2023-03-09 10:00:00,21653.28515625,21657.609375,21627.44921875,21649.53515625,21649.53515625,52082688
2023-03-09 10:30:00,21647.1796875,21675.93359375,21619.064453125,21673.60546875,21673.60546875,290717696
2023-03-09 11:00:00,21671.640625,21679.279296875,21641.806640625,21641.806640625,21641.806640625,25546752
2023-03-09 11:30:00,21650.296875,21674.1171875,21650.296875,21674.1171875,21674.1171875,41703424
2023-03-09 12:00:00,21674.87890625,21679.451171875,21635.11328125,21644.5,21644.5,55517184
2023-03-09 12:30:00,21645.005859375,21645.005859375,21621.9765625,21625.052734375,21625.052734375,1253376
2023-03-09 13:00:00,21624.00390625,21626.57421875,21588.546875,21607.9375,21607.9375,41717760
2023-03-09 13:30:00,21618.322265625,21720.484375,21618.322265625,21709.763671875,21709.763671875,477472768
2023-03-09 14:00:00,21710.484375,21796.12109375,21702.8203125,21749.970703125,21749.970703125,234690560
2023-03-09 14:30:00,21751.7734375,21772.96484375,21718.7109375,21718.7109375,21718.7109375,62429184
2023-03-09 15:00:00,21720.01171875,21777.724609375,21696.1171875,21720.447265625,21720.447265625,0
2023-03-09 15:30:00,21720.494140625,21733.70703125,21668.37890625,21669.142578125,21669.142578125,24391680
2023-03-09 16:00:00,21668.0625,21669.951171875,21626.34765625,21629.48828125,21629.48828125,155365376
2023-03-09 16:30:00,21627.681640625,21632.962890625,21506.064453125,21515.78125,21515.78125,647915520
2023-03-09 17:00:00,21514.638671875,21519.421875,21468.376953125,21519.421875,21519.421875,370446336
2023-03-09 17:30:00,21517.126953125,21517.126953125,21466.275390625,21470.486328125,21470.486328125,222191616
2023-03-09 18:00:00,21475.921875,21490.765625,21404.052734375,21404.052734375,21404.052734375,320745472
2023-03-09 18:30:00,21402.884765625,21402.884765625,21044.05859375,21063.486328125,21063.486328125,1510342656
2023-03-09 19:00:00,21061.56640625,21061.56640625,20885.05859375,20944.400390625,20944.400390625,1022287872
2023-03-09 19:30:00,20940.462890625,20940.462890625,20842.669921875,20862.9921875,20862.9921875,671520768
